img_id,Entropy,Complexity,Fisher,Smoothness,Curve structure,Up-down balance,Persistence,Distance to White Noise,Label
600,0.9927310335248304,0.0095344981096663,0.0098323004515944,0.0665154950869236,0.0871756109851347,0.010582010582010602,-0.1527462836986648,0.0019128864091011231,Emphysematous Area
601,0.9940828252495384,0.0077400267592167,0.0083715745841496,0.0511463844797178,0.0828924162257495,0.014865205341395897,-0.1555177626606199,0.001568062347135884,Emphysematous Area
602,0.991364468679989,0.0115326895644731,0.0116110170336835,0.0738221214411691,0.1015369110607206,0.009070294784580497,-0.1517384731670447,0.002191056335377199,Emphysematous Area
603,0.989736327387845,0.0133978723744602,0.01382778523524,0.0929705215419501,0.1030486268581507,0.021667926429831202,-0.1451877047115144,0.002717687487450773,Emphysematous Area
604,0.997555466420936,0.0032193107229479,0.002998604779744,0.0312421264802217,0.0458553791887125,0.013353489543965799,-0.15702947845805,0.0006413794206689127,Emphysematous Area
605,0.9840212714792927,0.0210668231005873,0.0217361240255893,0.109599395313681,0.1358024691358025,0.0246913580246914,-0.14317208364827422,0.004119836581833731,Emphysematous Area
606,0.9900455335660582,0.0131637348831992,0.0125856941320777,0.0803728898966994,0.1191735953640715,0.013605442176870701,-0.1482111363063745,0.0025667317401471394,Emphysematous Area
607,0.9909236506685404,0.0120858540860035,0.0115809721000283,0.0803728898966994,0.1206853111615016,0.010582010582010602,-0.1497228521038046,0.0023088754552239407,Emphysematous Area
608,0.9965549425258072,0.0044909030876407,0.0024374295475167,0.018644494834971,0.0519022423784328,0.004031242126480199,-0.1693751574703956,0.0009209459097880033,Emphysematous Area
609,0.9934713062231948,0.0085910295518587,0.0086549691199983,0.0483749055177626,0.0922146636432351,0.0025195263290501008,-0.1633282942806753,0.0017074647109200651,Emphysematous Area
610,0.9954086989062668,0.0059967191574263,0.0065120357682256,0.0609725371630133,0.0609725371630133,0.010330057949105603,-0.15803728898967,0.0012204451594846216,Emphysematous Area
611,0.9941811963947006,0.0076440477043198,0.0074016244844237,0.0579491055681531,0.0937263794406651,0.016376921138825905,-0.1504787100025197,0.0015283237862392981,Emphysematous Area
612,0.9931466875813134,0.0089224106465998,0.0092551238304343,0.0582010582010582,0.0894431846812799,0.014109347442680803,-0.156273620559335,0.001829854400071197,Emphysematous Area
613,0.9945539981353564,0.0071961604047556,0.0068510449124176,0.0632401108591584,0.0904509952129,0.000503905265809998,-0.1436759889140842,0.001412282110010938,Emphysematous Area
614,0.9931656134517464,0.0089871613531641,0.007520592575298,0.0680272108843537,0.0881834215167548,0.012093726379440596,-0.1426681783824642,0.001791004560983802,Emphysematous Area
615,0.992285668812388,0.0100885426864042,0.00950230717823,0.0728143109095489,0.0803728898966993,0.0070546737213404015,-0.1487150415721846,0.002038069223938283,Emphysematous Area
616,0.9949754430771324,0.0065921582049375,0.0062534416051901,0.0594608213655832,0.0650037792894935,0.0113378684807256,-0.1540060468631898,0.0013245525714181644,Emphysematous Area
617,0.9945412329663642,0.007133653164555,0.0070915616409993,0.0639959687578735,0.0619803476946334,0.0075585789871503994,-0.1542579994960948,0.001448338823412308,Emphysematous Area
618,0.9955732374870196,0.0057388761839764,0.0064735001722133,0.0617283950617284,0.0415721844293272,0.010833963214915601,-0.1489669942050896,0.001194799187276603,Emphysematous Area
619,0.9950752743773592,0.0064867658042289,0.0060949433830868,0.0531620055429579,0.0854119425547996,0.014613252708490794,-0.1477072310405644,0.0012892576195675193,Emphysematous Area
620,0.9954313689469232,0.0059184202459138,0.0060313755574343,0.0458553791887125,0.0685311161501637,0.0196523053665911,-0.15123456790123468,0.0012361882315331065,Emphysematous Area
621,0.99193318950728,0.0105417426534013,0.0098362504261138,0.0690350214159737,0.1007810531620055,0.013353489543965799,-0.15702947845805,0.0021344320601060325,Emphysematous Area
622,0.9923911054819587,0.0098691097599419,0.0095010013839122,0.0632401108591584,0.0889392794154698,0.0158730158730159,-0.1666036785084405,0.0020468294817717137,Emphysematous Area
623,0.9946795426603892,0.0068827429105341,0.0063105619186376,0.0456034265558075,0.0597127739984882,0.015873015873015803,-0.1650919627110104,0.0014422447310064427,Emphysematous Area
